ID,expect_time
0,506.91412
1,224.62065
2,329.97183
3,259.99713
4,435.88672
5,74.43581
6,357.35397
7,292.92838
8,448.75168
9,221.06772
10,321.10486
11,301.33948
12,270.60675
13,83.689095
14,26.5434
15,65.28016
16,65.69301
17,283.90158
18,386.41653
19,383.22205
20,157.06439
21,353.41397
22,733.87445
23,389.554
24,407.36447
25,277.51663
26,50.98695
27,60.770733
28,313.71802
29,320.6544
30,278.85562
31,394.79166
32,214.78894
33,258.20193
34,905.90045
35,404.1059
36,122.79864
37,401.40558
38,344.17966
39,557.94464
40,652.21844
41,520.36395
42,374.2516
43,321.44382
44,370.39508
45,379.7635
46,545.1359
47,120.117455
48,160.43756
49,515.5294
50,220.62946
51,551.9565
52,494.23178
53,289.75882
54,283.59763
55,373.94138
56,542.65155
57,220.02306
58,331.10583
59,245.62529
60,465.31046
61,252.90398
62,321.81778
63,126.082275
64,245.46205
65,371.68204
66,705.8366
67,129.9162
68,377.12216
69,297.4396
70,364.53943
71,93.72783
72,85.05367
73,468.78812
74,442.9991
75,424.54565
76,788.93
77,380.74493
78,261.61008
79,377.5733
80,351.1043
81,395.53473
82,705.8608
83,175.9973
84,371.3474
85,230.83322
86,178.06201
87,151.21016
88,358.352
89,261.98425
90,233.50458
91,274.8401
92,654.93463
93,319.87875
94,466.97714
95,406.25168
96,509.2261
97,299.90985
98,485.11227
99,516.24146
100,764.9784
101,118.07129
102,122.80427
103,213.85657
104,171.5699
105,374.59738
106,398.92575
107,296.7273
108,758.6371
109,227.27446
110,504.38715
111,202.99884
112,619.92615
113,37.683636
114,356.64246
115,365.23596
116,571.76965
117,331.07358
118,316.03268
119,137.11546
120,246.81375
121,282.78165
122,327.7122
123,218.62112
124,296.35028
125,184.10657
126,295.17447
127,130.71237
128,226.72128
129,226.72128
130,242.54646
131,326.55118
132,389.74878
133,323.03195
134,535.3393
135,225.50511
136,769.85065
137,236.97165
138,66.242294
139,361.3387
140,247.99287
141,422.93793
142,627.0162
143,288.2563
144,309.62878
145,413.37085
146,526.1025
147,202.32408
148,317.93622
149,245.51755
150,419.71915
151,372.14706
152,501.4798
153,400.11612
154,351.0933
155,352.31097
156,503.08612
157,315.2621
158,321.9662
159,223.7839
160,263.38187
161,201.26328
162,285.3788
163,122.1507
164,327.5389
165,60.463074
166,196.83498
167,199.98224
168,345.97693
169,144.90971
170,380.66837
171,216.22523
172,230.80595
173,396.0483
174,1156.1779
175,365.73267
176,449.62387
177,416.71384
178,547.7827
179,291.99002
180,242.64276
181,241.03465
182,373.75983
183,298.6185
184,302.49957
185,294.51288
186,383.04532
187,331.90808
188,441.2591
189,255.9014
190,250.92963
191,541.30316
192,350.21063
193,442.50275
194,989.21
195,253.47998
196,377.2369
197,442.8023
198,597.4022
199,194.8859
200,13.4752445
201,279.0143
202,278.50497
203,320.53442
204,309.9021
205,14.412255
206,159.95128
207,644.6804
208,599.5179
209,119.94933
210,412.45374
211,298.1141
212,750.98804
213,285.6557
214,424.1495
215,256.13452
216,444.549
217,36.010788
218,330.42856
219,490.27737
220,489.317
221,240.49286
222,341.0953
223,531.66003
224,752.4134
225,120.72792
226,240.20912
227,32.70052
228,358.84842
229,288.7209
230,170.36017
231,281.22263
232,505.83594
233,79.79552
234,79.79552
235,210.28844
236,297.63486
237,255.5115
238,576.45135
239,426.88284
240,516.0834
241,496.3675
242,453.0767
243,65.6719
244,465.72653
245,372.44504
246,178.10074
247,432.59418
248,321.17203
249,479.58698
250,519.6533
251,240.78783
252,246.8813
253,459.08246
254,507.45676
255,234.94235
256,407.7837
257,499.9855
258,677.7077
259,260.7785
260,308.60178
261,329.40588
262,650.1202
263,72.625275
264,74.92802
265,227.66803
266,416.3828
267,437.78403
268,303.59158
269,48.81737
270,71.02083
271,203.01375
272,317.34915
273,336.35532
274,250.42822
275,416.2303
276,657.33386
277,537.347
278,200.94565
279,162.93657
280,282.58823
281,199.9903
282,243.42368
283,183.00938
284,283.8014
285,446.48575
286,399.02182
287,184.38025
288,158.47234
289,312.1244
290,98.96232
291,104.45623
292,368.43747
293,380.39612
294,435.3202
295,31.279432
296,272.01703
297,180.47412
298,431.79834
299,290.44507
300,203.29964
301,212.23117
302,359.56146
303,288.48178
304,476.6866
305,42.396225
306,239.02435
307,210.00633
308,254.55763
309,335.61484
310,239.02435
311,305.82224
312,356.8296
313,259.84988
314,334.09
315,317.75708
316,441.1236
317,359.93198
318,307.80246
319,388.46475
320,695.80334
321,260.87064
322,326.68924
323,483.5428
324,364.17047
325,124.683945
326,396.76562
327,176.99956
328,407.75787
329,211.18236
330,128.86803
331,314.7205
332,678.6227
333,294.3544
334,258.36075
335,30.73035
336,241.05637
337,238.21687
338,240.9639
339,493.61227
340,59.511135
341,292.3928
342,292.3928
343,228.047
344,833.23816
345,292.4356
346,303.92157
347,205.20892
348,211.37819
349,273.30368
350,450.42303
351,331.49393
352,14.87891
353,234.65749
354,213.59505
355,614.65533
356,697.7145
357,21.370169
358,451.6304
359,595.3989
360,715.209
361,9.442218
362,546.85486
363,449.54895
364,445.02454
365,263.67426
366,225.69566
367,470.76987
368,961.7045
369,287.10297
370,118.18842
371,370.81226
372,474.99643
373,675.33856
374,654.3714
375,13.641088
376,115.94731
377,13.793436
378,292.2081
379,356.82217
380,242.72758
381,324.60745
382,357.2112
383,466.21082
384,589.46985
385,288.2337
386,128.17355
387,277.62167
388,453.07574
389,57.784298
390,563.9477
391,269.42676
392,367.934
393,456.2642
394,609.05133
395,14.753111
396,242.54292
397,262.4853
398,392.31363
399,244.19148
400,450.9414
401,253.42693
402,310.33908
403,168.79701
404,49.1471
405,43.47388
406,292.35114
407,421.60562
408,337.64505
409,339.27438
410,814.1588
411,280.64212
412,367.257
413,505.32626
414,502.08237
415,248.58395
416,420.12595
417,175.18414
418,433.3394
419,400.69278
420,768.66547
421,211.81187
422,361.44522
423,410.61307
424,304.65552
425,67.34233
426,386.41855
427,57.46038
428,496.04196
429,194.35231
430,426.49655
431,268.5244
432,326.3991
433,462.7108
434,849.3417
435,206.99844
436,367.07498
437,291.0702
438,198.73265
439,270.42517
440,737.8022
441,47.934746
442,73.34324
443,528.7345
444,427.29822
445,287.3533
446,552.9531
447,323.55145
448,227.33972
449,23.972858
450,274.18063
451,102.565285
452,226.68568
453,351.59775
454,218.01355
455,341.89334
456,429.5231
457,418.3243
458,582.4708
459,321.77704
460,198.28438
461,112.59358
462,213.70477
463,399.1448
464,1200.9576
465,88.85199
466,216.2058
467,52.695274
468,49.640453
469,43.58909
470,262.94464
471,327.22318
472,230.04031
473,501.72015
474,205.88564
475,251.8771
476,291.19934
477,62.80903
478,537.8122
479,142.88622
480,69.017876
481,436.5489
482,391.60992
483,369.0623
484,688.36053
485,271.39975
486,272.17035
487,364.41364
488,321.13956
489,165.35466
490,55.8802
491,165.8608
492,164.2131
493,459.21747
494,301.7861
495,343.08414
496,775.8537
497,246.29134
498,163.83823
499,371.70218
500,460.45786
501,357.8489
502,839.8188
503,340.47754
504,222.75978
505,601.321
506,291.97562
507,324.864
508,597.7115
509,203.93233
510,230.7834
511,189.82506
512,462.90915
513,295.98404
514,849.6255
515,30.862339
516,43.66991
517,393.6986
518,162.43015
519,206.01682
520,441.62003
521,44.320805
522,154.81691
523,476.19757
524,287.4076
525,349.95892
526,628.26624
527,408.1574
528,368.6132
529,89.381905
530,309.80762
531,313.34552
532,465.50424
533,477.4704
